relative_path,line_count,mtime_iso,module_doc_first_line
Code/thesis/data/merge_all_transformed_parquet.py,211,2026-03-30T09:43:20+00:00,"Merge ``data/transformed/*.parquet`` except ``all-data.parquet`` into ``data/transformed/all-data.parquet``, appending ``source_stem`` on every row so you can split back with ``groupby(source_stem)``. Row counts: sum of per-file ``ParquetFile.metadata.num_rows`` must equal rows written; on mismatch "
Code/thesis/data/merge_tweets_eval.py,70,2026-03-30T05:59:34+00:00,
Code/thesis/data/normalize_datasets.py,168,2026-03-30T09:42:50+00:00,
Code/thesis/data/preprocess.py,147,2026-03-30T05:59:34+00:00,
Code/thesis/data/process_yelp_custom.py,99,2026-03-30T05:59:34+00:00,
Code/thesis/data/rewrite_all_data_sentiment_three_class.py,128,2026-04-01T16:21:20+00:00,"Rewrite ``data/processed/all-data.parquet`` so ``sentiment_value`` is only 0, 1, or 2. Uses the same rules as ``normalize_label_for_n_classes(..., n_classes=3, source_stem=...)`` in ``Code.thesis.common.datasets`` (star-rating stems + generic merge bucketing). Run from repo root (directory that cont"
Code/thesis/data/rewrite_transformed_sentiment_three_class.py,163,2026-04-03T03:45:04+00:00,"Rewrite **every** row of ``data/transformed/all-data.parquet`` so ``sentiment_value`` is only 0, 1, or 2. Uses the same mapping as ``rewrite_all_data_sentiment_three_class.py`` on processed data: ``normalize_label_for_n_classes(coerce_label_int(y), 3, source_stem=...)`` from ``common.datasets``. Row"
Code/thesis/data/rewrite_transformed_star_labels_three_class.py,200,2026-04-03T03:38:58+00:00,Rewrite ``data/transformed/all-data.parquet`` ``sentiment_value`` for star-rating sources only. ``transformed/all-data.parquet`` from ``embed_reduce.py --only all-data`` has no ``source_stem``; row order matches ``data/processed/all-data.parquet`` (same row count). For each row whose ``source_stem``
Code/thesis/fix_configs.py,166,2026-03-30T05:59:32+00:00,
Code/thesis/fix_src_imports.py,23,2026-03-30T05:59:32+00:00,
Code/thesis/generate_thesis_configs.py,156,2026-03-30T05:59:32+00:00,One-off generator for thesis JSON configs (run from repo root if needed).
Code/thesis/test/validate_all.py,191,2026-04-04T11:50:08+00:00,Evaluate checkpoints produced by train_single (safetensors).
Code/thesis/tools/analyze_thesis_datasets.py,599,2026-04-05T03:52:14+00:00,Exploratory analysis for thesis Parquet datasets under data/processed and data/transformed. Writes reports under output/dataset analysis/ (default). See index.md for methodology notes.
Code/thesis/tools/count_model_params.py,163,2026-03-30T05:59:34+00:00,Count trainable/total parameters for each thesis JSON config (same build path as training). Run from repository root: python Code/thesis/tools/count_model_params.py python Code/thesis/tools/count_model_params.py --markdown-out docs/thesis_parameter_counts.md Skips: Code/thesis/config/moe/example_exp
Code/thesis/tools/download_transformers.py,54,2026-03-30T05:59:34+00:00,"Download Hugging Face base models + tokenizers into ``checkpoints/transformer/<name>``. Run from repository root (requires ``transformers``, ``torch``):: python Code/thesis/tools/download_transformers.py"
Code/thesis/tools/eval_per_source_stem_metrics.py,1246,2026-04-05T03:43:30+00:00,"Split merged all-data parquets by ``source_stem``, then evaluate each checkpointed model separately on split files only (under processed/transformed/{split_subdir}/). See TEMP/docs/ml/TRAINING_PIPELINES.md for data conventions."
Code/thesis/tools/export_model_documentation.py,501,2026-04-05T04:05:22+00:00,"Scan thesis configs, checkpoints (run_meta), training scripts, docs/logs/DUMMY indexes; write a model documentation catalog under output/models/. See output index.md after each run."
Code/thesis/tools/export_temp_path_inventory.py,187,2026-04-05T04:05:12+00:00,Walk the repository tree and write a CSV + index under output/path/. Default excludes skip large or regenerated subtrees; use --no-default-excludes for a full tree.
Code/thesis/tools/hrm_embed_smoke.py,250,2026-03-31T12:09:06+00:00,"Load HRM encoder-only weights (config + safetensors), run mean-pooled embeddings on sample text. Run from repository root: python Code/thesis/tools/hrm_embed_smoke.py python Code/thesis/tools/hrm_embed_smoke.py \\ --config Code/thesis/config/hrm/E_HRM1_4Level.json \\ --checkpoint checkpoints/hrm/pre"
Code/thesis/tools/hrm_pretrain_hours_estimate.py,67,2026-03-30T05:59:34+00:00,"Rough wall-time estimate for HRM MLM epochs on dual-GPU (or any) setup. T ≈ num_epochs * ceil(N / (R * B)) * t_step N = parquet rows (text), R = GPU count, B = per-GPU batch, t_step = seconds per optimizer step **measured on the target hardware** (not a laptop 4070). Usage: python Code/thesis/tools/"
Code/thesis/tools/parquet_text_token_stats.py,163,2026-03-30T05:59:34+00:00,"Compute max and mean token counts for a parquet text column using the HRM tokenizer (google-bert/bert-base-uncased by default). Full encode, no truncation. Run from repository root: python Code/thesis/tools/parquet_text_token_stats.py python Code/thesis/tools/parquet_text_token_stats.py --parquet pa"
Code/thesis/tools/transformer_mlp_head_smoke.py,38,2026-04-02T12:13:18+00:00,Load one transformer MLP-head JSON and run a single forward pass (head + embeddings path).
Code/thesis/train/moe_facade.py,133,2026-04-04T22:33:28+00:00,"MoE facades: (1) DistilBERT text gate + experts, or (2) feature-only gate (no transformer in forward)."
Code/thesis/train/train_all.py,184,2026-03-30T05:59:34+00:00,Thesis training orchestrator. - **Default (no args):** Prints usage. Train **one model at a time** with `Code/thesis/train/train_single.py` (see `scripts/README.md` → Core training). - **Single run:** Pass `--config` and `--dataset_stem` to spawn one `train_single` process. - **Full sweep:** Pass `-
Code/thesis/train/train_b11_cnn_lstm_stack_gelu_ddp.py,324,2026-04-04T02:07:28+00:00,"DDP fine-tune **B11 stacked pipeline**: frozen pretrained **CNN** then **LSTM** (each 100→100 from ``checkpoints/pretrain``), plus trainable ``100 -> 400 -> GELU -> K`` on transformed parquet. Configs: ``Code/thesis/config/b11_cnn_lstm_stack/{2_labels,3_labels}/B11_CNN_LSTM_stack.json`` (key ``B11St"
Code/thesis/train/train_frozen_pretrain_mlp_head_ddp.py,371,2026-04-04T02:03:24+00:00,"DDP fine-tune: frozen pretrained feature encoder (``checkpoints/pretrain/*.safetensors``) + trainable MLP ``100 -> 400 -> GELU -> n_classes`` on transformed parquet (100-D features). Configs: ``Code/thesis/config/mlp_gelu_head_ddp/{2_labels,3_labels}/FeatEnc_*.json`` (body key ``FrozenPretrainGeLUHe"
Code/thesis/train/train_ml_processed_embed_meta.py,378,2026-04-04T01:17:00+00:00,"docs/ml Tracks B and C (practical subset): frozen DistilBERT mean-pooled embeddings from ``data/processed/{stem}.parquet``, then either a trainable linear head (B) or sklearn LogisticRegression + LinearSVC (C). Aligns with TRAINING_PIPELINES.md §4–5; full multi-encoder MoE stacks remain future work."
Code/thesis/train/train_moe.py,667,2026-04-04T22:33:30+00:00,"Fine-tune the MoE gate (and optional tiny PEFT LoRA on one LLM expert) while experts stay frozen. Experts JSON: list of {config, checkpoint, modality}; see Code/thesis/config/moe/README.md. Distributed: launch with ``torchrun --nproc_per_node=2 Code/thesis/train/train_moe.py ...`` (NCCL, CUDA). Peri"
Code/thesis/train/train_queue.py,852,2026-04-04T01:16:32+00:00,Sequential feature-model training queue: CNN/RNN via ``torchrun`` (multi-GPU); optional classical ML via single-process train_single.py (use --include-ml). Transformers/HRM are not queued here. Optionally runs **five** ``FeaturePretrainAutoencoder`` jobs on ``transformed/all-data.parquet`` first (``
Code/thesis/train/train_single.py,1757,2026-04-05T02:49:58+00:00,Train **one** model from a single thesis JSON config (one `--config` per invocation). Data: - Transformers / HRM: processed text under ``data/processed/`` (one stem or merged; see ``--pretrain_text_source``). - Merged pretrain (``all_processed``): lazy per-rank shards + ``shuffle=False``; HRM uses 2
Code/thesis/train/train_stack.py,139,2026-03-30T05:59:34+00:00,Meta-stacking: concatenate frozen expert logits and train a linear head. Experts JSON format matches ``train_moe.py`` (list of config + checkpoint + modality).
Code/thesis/tune_and_generate.py,170,2026-03-30T05:59:32+00:00,
